주문번호,관엽식물,서양란,공기정화식물,인테리어식물,완제품,공중식물,화병,야생화,선인장,수생/식충/과실수,다육,허브,분재,영양제/살균제,흙/마사/스톤,동양란,묘목/조경/관목,수입식물,화분,특가세일,구근,기타원예,단품,모종,씨앗,꽃다발/바구니,테이블/선반,개업/완제품,바위솔/세덤,조화,수초,근조/화환,1+1,기타수족관용품,바닥재/소일,조명,어항,수초용품,수석/유목/장식,Column1
2.0231E+15,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
A16966241783608229,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
2.0231E+15,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0231E+15,,,,,,,,,,,,,,,1,,,,,,,1,,1,,,,,,,,,,,,,,,,
A16962441693122254,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
A16955741102482312,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
A16954841971288227,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
2.02309E+15,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
2.02309E+15,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
2.02309E+15,,,1,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
2.02309E+15,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
A16950360092687509,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
2.02309E+15,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A16947719520361410,,,,1,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,
A16947587180622444,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,
A16945995162560288,,,,,,,,,,,,,,,,,,,1,,,1,1,1,,,,,,,,,,,,,,,,
2.02309E+15,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
2.02309E+15,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
2.02309E+15,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
2.02309E+15,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
A16943621028845122,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
