antecedents,consequents,support,confidence
frozenset({'공기정화식물'}),frozenset({'관엽식물'}),0.022230255,0.229050279
frozenset({'관엽식물'}),frozenset({'공기정화식물'}),0.022230255,0.280821918
frozenset({'공기정화식물'}),frozenset({'인테리어식물'}),0.018977047,0.195530726
frozenset({'인테리어식물'}),frozenset({'공기정화식물'}),0.018977047,0.217391304
frozenset({'공기정화식물'}),frozenset({'야생화'}),0.016627508,0.17132216
frozenset({'야생화'}),frozenset({'공기정화식물'}),0.016627508,0.206741573
frozenset({'공기정화식물'}),frozenset({'수입식물'}),0.014458702,0.148975791
frozenset({'수입식물'}),frozenset({'공기정화식물'}),0.014458702,0.263157895
frozenset({'야생화'}),frozenset({'관엽식물'}),0.0133743,0.166292135
frozenset({'관엽식물'}),frozenset({'야생화'}),0.0133743,0.168949772
frozenset({'인테리어식물'}),frozenset({'관엽식물'}),0.010663293,0.122153209
frozenset({'관엽식물'}),frozenset({'인테리어식물'}),0.010663293,0.134703196
frozenset({'수입식물'}),frozenset({'관엽식물'}),0.010301825,0.1875
frozenset({'관엽식물'}),frozenset({'수입식물'}),0.010301825,0.130136986
frozenset({'인테리어식물'}),frozenset({'야생화'}),0.010301825,0.118012422
frozenset({'야생화'}),frozenset({'인테리어식물'}),0.010301825,0.128089888
frozenset({'수입식물'}),frozenset({'공중식물'}),0.009036689,0.164473684
frozenset({'공중식물'}),frozenset({'수입식물'}),0.009036689,0.259067358
frozenset({'공기정화식물'}),frozenset({'공중식물'}),0.008855955,0.091247672
frozenset({'공중식물'}),frozenset({'공기정화식물'}),0.008855955,0.25388601
frozenset({'공기정화식물'}),frozenset({'다육'}),0.008494488,0.087523277
frozenset({'다육'}),frozenset({'공기정화식물'}),0.008494488,0.247368421
frozenset({'다육'}),frozenset({'관엽식물'}),0.007952286,0.231578947
frozenset({'관엽식물'}),frozenset({'다육'}),0.007952286,0.100456621
frozenset({'흙/마사/스톤'}),frozenset({'화분'}),0.007771553,0.097285068
frozenset({'화분'}),frozenset({'흙/마사/스톤'}),0.007771553,0.203791469
frozenset({'수입식물'}),frozenset({'야생화'}),0.007590819,0.138157895
frozenset({'야생화'}),frozenset({'수입식물'}),0.007590819,0.094382022
frozenset({'영양제/살균제'}),frozenset({'흙/마사/스톤'}),0.007229351,0.5
frozenset({'흙/마사/스톤'}),frozenset({'영양제/살균제'}),0.007229351,0.090497738
frozenset({'공기정화식물'}),frozenset({'흙/마사/스톤'}),0.00668715,0.068901304
frozenset({'흙/마사/스톤'}),frozenset({'공기정화식물'}),0.00668715,0.083710407
frozenset({'인테리어식물'}),frozenset({'공중식물'}),0.00668715,0.076604555
frozenset({'공중식물'}),frozenset({'인테리어식물'}),0.00668715,0.191709845
frozenset({'특가세일'}),frozenset({'인테리어식물'}),0.00668715,0.099730458
frozenset({'인테리어식물'}),frozenset({'특가세일'}),0.00668715,0.076604555
frozenset({'다육'}),frozenset({'야생화'}),0.00668715,0.194736842
frozenset({'야생화'}),frozenset({'다육'}),0.00668715,0.083146067
frozenset({'인테리어식물'}),frozenset({'수입식물'}),0.006506416,0.074534161
frozenset({'수입식물'}),frozenset({'인테리어식물'}),0.006506416,0.118421053
frozenset({'인테리어식물'}),frozenset({'흙/마사/스톤'}),0.005783481,0.066252588
frozenset({'흙/마사/스톤'}),frozenset({'인테리어식물'}),0.005783481,0.07239819
frozenset({'기타원예'}),frozenset({'흙/마사/스톤'}),0.005783481,0.195121951
frozenset({'흙/마사/스톤'}),frozenset({'기타원예'}),0.005783481,0.07239819
frozenset({'공중식물'}),frozenset({'관엽식물'}),0.00524128,0.150259067
frozenset({'관엽식물'}),frozenset({'공중식물'}),0.00524128,0.066210046
frozenset({'야생화'}),frozenset({'공중식물'}),0.004879812,0.060674157
frozenset({'공중식물'}),frozenset({'야생화'}),0.004879812,0.139896373
frozenset({'인테리어식물'}),frozenset({'다육'}),0.004699078,0.053830228
frozenset({'다육'}),frozenset({'인테리어식물'}),0.004699078,0.136842105
frozenset({'야생화'}),frozenset({'흙/마사/스톤'}),0.004699078,0.058426966
frozenset({'흙/마사/스톤'}),frozenset({'야생화'}),0.004699078,0.058823529
"frozenset({'인테리어식물', '공기정화식물'})",frozenset({'관엽식물'}),0.004699078,0.247619048
"frozenset({'관엽식물', '공기정화식물'})",frozenset({'인테리어식물'}),0.004699078,0.211382114
"frozenset({'인테리어식물', '관엽식물'})",frozenset({'공기정화식물'}),0.004699078,0.440677966
frozenset({'공기정화식물'}),"frozenset({'인테리어식물', '관엽식물'})",0.004699078,0.048417132
frozenset({'인테리어식물'}),"frozenset({'관엽식물', '공기정화식물'})",0.004699078,0.053830228
frozenset({'관엽식물'}),"frozenset({'인테리어식물', '공기정화식물'})",0.004699078,0.059360731
frozenset({'공기정화식물'}),frozenset({'특가세일'}),0.004518344,0.046554935
frozenset({'특가세일'}),frozenset({'공기정화식물'}),0.004518344,0.067385445
"frozenset({'야생화', '공기정화식물'})",frozenset({'관엽식물'}),0.004518344,0.27173913
"frozenset({'관엽식물', '공기정화식물'})",frozenset({'야생화'}),0.004518344,0.203252033
"frozenset({'관엽식물', '야생화'})",frozenset({'공기정화식물'}),0.004518344,0.337837838
frozenset({'공기정화식물'}),"frozenset({'관엽식물', '야생화'})",0.004518344,0.046554935
frozenset({'야생화'}),"frozenset({'관엽식물', '공기정화식물'})",0.004518344,0.056179775
frozenset({'관엽식물'}),"frozenset({'야생화', '공기정화식물'})",0.004518344,0.057077626
frozenset({'흙/마사/스톤'}),frozenset({'관엽식물'}),0.004156877,0.052036199
frozenset({'관엽식물'}),frozenset({'흙/마사/스톤'}),0.004156877,0.052511416
frozenset({'선인장'}),frozenset({'다육'}),0.004156877,0.302631579
frozenset({'다육'}),frozenset({'선인장'}),0.004156877,0.121052632
frozenset({'기타원예'}),frozenset({'화분'}),0.003795409,0.12804878
frozenset({'화분'}),frozenset({'기타원예'}),0.003795409,0.099526066
frozenset({'인테리어식물'}),frozenset({'수생/식충/과실수'}),0.003614676,0.041407867
frozenset({'수생/식충/과실수'}),frozenset({'인테리어식물'}),0.003614676,0.263157895
frozenset({'인테리어식물'}),frozenset({'묘목/조경/관목'}),0.003614676,0.041407867
frozenset({'묘목/조경/관목'}),frozenset({'인테리어식물'}),0.003614676,0.170940171
"frozenset({'수입식물', '공기정화식물'})",frozenset({'관엽식물'}),0.003614676,0.25
"frozenset({'관엽식물', '공기정화식물'})",frozenset({'수입식물'}),0.003614676,0.162601626
"frozenset({'수입식물', '관엽식물'})",frozenset({'공기정화식물'}),0.003614676,0.350877193
frozenset({'공기정화식물'}),"frozenset({'수입식물', '관엽식물'})",0.003614676,0.037243948
frozenset({'수입식물'}),"frozenset({'관엽식물', '공기정화식물'})",0.003614676,0.065789474
frozenset({'관엽식물'}),"frozenset({'수입식물', '공기정화식물'})",0.003614676,0.0456621
frozenset({'공기정화식물'}),frozenset({'수생/식충/과실수'}),0.003433942,0.03538175
frozenset({'수생/식충/과실수'}),frozenset({'공기정화식물'}),0.003433942,0.25
frozenset({'다육'}),frozenset({'수입식물'}),0.003433942,0.1
frozenset({'수입식물'}),frozenset({'다육'}),0.003433942,0.0625
frozenset({'공기정화식물'}),frozenset({'선인장'}),0.003253208,0.033519553
